idevents,idusers,event_name,event_date,description,location
2,1,Научная конференция ,2024-11-27 00:00:00,Мы обновили событие,ЛДПК
3,1,Бизнес-конференция,2024-12-16 00:00:00,Куда правильно вложиться,ЛДПК
4,1,Сходка бизнесменов,2024-12-18 00:00:00,"Думаем о том, как правильно вывести монету",ЛДПК
5,1,День открытых дверей,2025-04-25 00:00:00,У нас будет свободный вход всех желающих,ЛДПК
7,1,Новый Год,2025-01-01 00:00:00,Все знают этот праздник,Дом
8,1,День рождения,2024-12-27 00:00:00,Мой день рождения. Никогда не забуду,Дома
9,1,Памятный день,2024-12-01 00:00:00,В этот день родилась моя собака,Дома
10,1,День всемирного оздоровления,2024-10-16 00:00:00,Я вседа за здоровый образ жизни,ЛДПК
11,1,День смеха,2025-04-01 00:00:00,Надо подшутить над своими коллегами,ЛДПК
13,1,Главный козырь программы,2024-12-05 00:00:00,"В ней я буду праздновать встречу зимы
",Деревня
16,8,Новое событие,2024-12-18 00:00:00,новое		,Нигде
17,8,Старое событие,2024-12-19 00:00:00,Старый,Нигде
18,10,Тестовое событие,2024-12-18 00:00:00,Мероприятие на тему,ЛДПК
20,1,Мероприятие,2024-12-18 00:00:00,Хорошеее	,ЛДПК
21,10,Поедем в отпуск,2024-12-02 00:00:00,На мальдивы,Мальдивы
22,1,Мероприятие,2024-12-18 00:00:00,Собитие важное,ЛДПКУ
23,1,Встреча,2024-12-18 00:00:00,Встреча,Встреча
25,1,Мероприяте важнек,2024-12-19 00:00:00,Важне,фывф
26,1,SS,2024-12-12 00:00:00,SS,SS
27,1,Смотрим фильм,2024-12-06 00:00:00,Будем смотреть БОРАТ,КИНО
28,1,Летняя конференция,2025-06-20 10:00:00,Конференция на свежем воздухе,Москва
29,1,Новая встреча,2024-12-15 15:00:00,,Санкт-Петербург
30,2,Деловая встреча,2025-01-10 09:00:00,Обсуждение бизнес-планов,Екатеринбург
31,3,Технический семинар,2025-02-15 12:00:00,"Семинар по современным технологиям, включая AI, IoT и облачные системы",Новосибирск
32,,Без пользователя,2025-03-01 14:30:00,Событие для всех желающих,Казань
33,1,Семинар по разработке,2024-12-20 09:00:00,Разработка мобильных приложений,Москва
34,2,Мастер-класс по дизайну,2024-12-21 14:00:00,Дизайн интерфейсов,Санкт-Петербург
35,3,Хакатон,2024-12-22 10:00:00,Соревнование программистов,Новосибирск
36,4,Конференция по ИИ,2024-12-23 11:00:00,Искусственный интеллект сегодня,Екатеринбург
37,5,Круглый стол,2024-12-24 16:00:00,Обсуждение IT-трендов,Казань
38,1,Событие 1,2025-01-10 10:00:00,Описание 1,Москва
39,2,Событие 2,2025-01-20 10:00:00,Описание 2,Санкт-Петербург
40,3,Событие 3,2025-01-30 10:00:00,Описание 3,Новосибирск
41,4,Событие 4,2025-02-09 10:00:00,Описание 4,Екатеринбург
42,5,Событие 5,2025-02-19 10:00:00,Описание 5,Казань
43,6,Событие 6,2025-03-01 10:00:00,Описание 6,Москва
44,7,Событие 7,2025-03-11 10:00:00,Описание 7,Санкт-Петербург
45,8,Событие 8,2025-03-21 10:00:00,Описание 8,Новосибирск
46,9,Событие 9,2025-03-31 10:00:00,Описание 9,Екатеринбург
47,10,Событие 10,2025-04-10 10:00:00,Описание 10,Казань
48,1,Новое событие,2024-12-15 14:00:00,Описание нового события,Москва
